#       O3      NO2     NO
2014-10-26_08	2.5	41	52
2014-10-26_09	0	34	54
2014-10-26_10	0	35	50
2014-10-26_11	0	37	39
2014-10-26_12	6	44	17
2014-10-26_13	29	19	2
2014-10-26_14	44	11	1
2014-10-26_15	49	5	1
2014-10-26_16	52	5	1
2014-10-26_17	56	8	1
2014-10-26_18	60	7	1
2014-10-26_19	54	6	1
2014-10-26_20	50	5	0
2014-10-26_21	46	7	1
2014-10-26_22	36	11	0
2014-10-26_23	35	12	0
2014-10-27_00	31	16	0
2014-10-27_01	32	11	0
2014-10-27_02	13	29	7
2014-10-27_03	0	44	21
2014-10-27_04	1	38.5	12.5
2014-10-27_05	3	33	4
2014-10-27_06	0	34	6
2014-10-27_07	0	34	40
2014-10-27_08	0	35	88
2014-10-27_09	0	30	66
2014-10-27_10	1	35	72
2014-10-27_11	13	29	19
2014-10-27_12	21	24	9
2014-10-27_13	32	16	6
2014-10-27_14	43	8	3
2014-10-27_15	44	7	2
2014-10-27_16	45	5	2
2014-10-27_17	45	4	1
2014-10-27_18	45	5	1
2014-10-27_19	46	5	1
2014-10-27_20	43	6	1
2014-10-27_21	37	13	3
2014-10-27_22	31	15	1
2014-10-27_23	12	32	4
2014-10-28_00	19	26	1
2014-10-28_01	17	29	1
2014-10-28_02	19	25	2
2014-10-28_03	26	15	0
2014-10-28_04	23	19	1
2014-10-28_05	15	23	2
2014-10-28_06	7	32	20
2014-10-28_07	0	37	28
2014-10-28_08	0	31	37
2014-10-28_09	0	34	55
2014-10-28_10	2	43	75
2014-10-28_11	10	49	46
2014-10-28_12	23	32	14
2014-10-28_13	39	14	4
2014-10-28_14	36	14	4
2014-10-28_15	41	12	5
2014-10-28_16	46	8	3
2014-10-28_17	40	10	4
2014-10-28_18	42	7	2
2014-10-28_19	41	5	1
2014-10-28_20	38	6	1
2014-10-28_21	32	12	1
2014-10-28_22	26	17	1
2014-10-28_23	16	27	2
2014-10-29_00	17	28	1
2014-10-29_01	20	21	1
2014-10-29_02	11	30	2
2014-10-29_03	6	32	4
2014-10-29_04	1	35.5	12.5
2014-10-29_05	0	39	21
2014-10-29_06	0	35	45
2014-10-29_07	0	29	25
2014-10-29_08	0	34	58
2014-10-29_09	0	34	89
2014-10-29_10	1	42	77
2014-10-29_11	9	48	42
2014-10-29_12	19	37	26
2014-10-29_13	39	30	11
2014-10-29_14	58	14	3
2014-10-29_15	66	8	1
2014-10-29_16	72	8	1
2014-10-29_17	78	10	2
2014-10-29_18	74	11	2
2014-10-29_19	84	9	1
2014-10-29_20	90	10	1
2014-10-29_21	83	15	0
2014-10-29_22	71	22	0
2014-10-29_23	48	40	6
2014-10-30_00	62	24	0
2014-10-30_01	48	35	0
2014-10-30_02	9	68	12
2014-10-30_03	0	63	39
2014-10-30_04	0	57.5	42.5
2014-10-30_05	0	52	46
2014-10-30_06	0	56	98
2014-10-30_07	0	48	77
2014-10-30_08	0	50	78
2014-10-30_09	0	58	101
2014-10-30_10	1	64	134
2014-10-30_11	10	68	84
2014-10-30_12	24	62	24
2014-10-30_13	41	45	14
2014-10-30_14	49	26	8
2014-10-30_15	67	21	5
2014-10-30_16	81	23	4
2014-10-30_17	85	24	4
2014-10-30_18	80	21	3
2014-10-30_19	77	18	1
2014-10-30_20	70	33	2
2014-10-30_21	58	45	6
2014-10-30_22	40	54	6
2014-10-30_23	46	37	1
2014-10-31_00	52	27	1
2014-10-31_01	13	57	29
2014-10-31_02	0	61	40
2014-10-31_03	0	65	32
2014-10-31_04	0	57.5	34.5
2014-10-31_05	20	50	37
2014-10-31_06	79	3	0
2014-10-31_07	83	2	0
2014-10-31_08	75.5	3	0
2014-10-31_09	68	4	0
2014-10-31_10	56	13	1
2014-10-31_11	67	12	2
2014-10-31_12	68	11	2
2014-10-31_13	67	11	2
2014-10-31_14	68	10	2
2014-10-31_15	65	11	2
2014-10-31_16	73	12	1
2014-10-31_17	66	10	1
2014-10-31_18	67	4	0
2014-10-31_19	66	10	2
2014-10-31_20	64	19	2
2014-10-31_21	58	26	1
2014-10-31_22	44	39	5
2014-10-31_23	48	31	2
2014-11-01_00	16	54	3
2014-11-01_01	14	49	16
2014-11-01_02	1	64	16
